Date,Open,High,Low,Close,Volume,closeTime,QuoteVolume,Trades,TakerBuyBase,TakerBuyQuote,openTimeStamp,closeTimeStamp
2025-10-28 20:23:00+00:00,112613.23,112746.46,112612.0,112739.78,21.60414,2025-10-28 20:23:59.999000+00:00,2434839.7285097,4533,17.66439,1990864.3878394,1761682980000,1761683039999
2025-10-28 20:24:00+00:00,112739.79,112739.79,112660.97,112679.57,30.45916,2025-10-28 20:24:59.999000+00:00,3432867.7816863,3429,20.22576,2279370.1881948,1761683040000,1761683099999
2025-10-28 20:25:00+00:00,112679.57,112688.24,112564.05,112676.55,22.0175,2025-10-28 20:25:59.999000+00:00,2479943.9712956,6500,7.6565,862341.7274825,1761683100000,1761683159999
2025-10-28 20:26:00+00:00,112676.55,112739.16,112630.45,112630.45,22.42962,2025-10-28 20:26:59.999000+00:00,2527637.4805613,4699,6.78232,764297.8003449,1761683160000,1761683219999
2025-10-28 20:27:00+00:00,112630.46,112630.46,112510.0,112510.01,21.94717,2025-10-28 20:27:59.999000+00:00,2470730.5136351,4783,7.71636,868656.1458604,1761683220000,1761683279999
2025-10-28 20:28:00+00:00,112510.01,112549.19,112443.46,112468.32,28.85092,2025-10-28 20:28:59.999000+00:00,3245686.3741757,5727,8.24682,927668.6271998,1761683280000,1761683339999
2025-10-28 20:29:00+00:00,112468.33,112594.75,112468.32,112538.83,15.24796,2025-10-28 20:29:59.999000+00:00,1716044.2207838,4699,10.5111,1182885.8530067,1761683340000,1761683399999
2025-10-28 20:30:00+00:00,112538.84,112585.12,112477.0,112585.12,8.02293,2025-10-28 20:30:59.999000+00:00,902858.7981767,3947,4.2376,476856.0161678,1761683400000,1761683459999
2025-10-28 20:31:00+00:00,112585.11,112585.12,112410.38,112410.38,39.39024,2025-10-28 20:31:59.999000+00:00,4430444.3471825,6563,4.24609,477711.0414826,1761683460000,1761683519999
2025-10-28 20:32:00+00:00,112410.38,112457.43,112368.35,112432.71,22.8485,2025-10-28 20:32:59.999000+00:00,2568235.6690363,7317,10.90899,1226256.7976174,1761683520000,1761683579999
